[2025-04-28 15:41:30] pid936313 Launching 900 tasks with 32 worker processes…
[2025-04-28 15:50:42] pid936313 ➀  74/900 finished (dec α=0.1, n=5)
[2025-04-28 15:50:42] pid936313 ➀  75/900 finished (dec α=0.1, n=6)
[2025-04-28 15:50:42] pid936313 ➀  76/900 finished (dec α=0.1, n=7)
[2025-04-28 15:50:42] pid936313 ➀  77/900 finished (dec α=0.1, n=8)
[2025-04-28 15:50:42] pid936313 ➀  78/900 finished (dec α=0.1, n=9)
[2025-04-28 15:50:42] pid936313 ➀  79/900 finished (dec α=0.1, n=10)
[2025-04-28 15:50:42] pid936313 ➀  80/900 finished (dec α=0.1, n=11)
[2025-04-28 15:50:43] pid936313 ➀  81/900 finished (dec α=0.1, n=12)
[2025-04-28 15:50:45] pid936313 ➀  82/900 finished (dec α=0.1, n=13)
[2025-04-28 15:50:45] pid936313 ➀  83/900 finished (dec α=0.1, n=14)
[2025-04-28 15:50:47] pid936313 ➀  84/900 finished (dec α=0.1, n=15)
[2025-04-28 15:50:48] pid936313 ➀  85/900 finished (dec α=0.1, n=16)
[2025-04-28 15:50:48] pid936313 ➀  86/900 finished (dec α=0.1, n=17)
[2025-04-28 15:50:49] pid936313 ➀  87/900 finished (dec α=0.1, n=18)
[2025-04-28 15:50:50] pid936313 ➀  88/900 finished (dec α=0.1, n=19)
[2025-04-28 15:50:52] pid936313 ➀  89/900 finished (dec α=0.1, n=20)
[2025-04-28 15:50:53] pid936313 ➀  90/900 finished (dec α=0.1, n=21)
[2025-04-28 15:50:55] pid936313 ➀  91/900 finished (dec α=0.1, n=22)
[2025-04-28 15:50:58] pid936313 ➀  92/900 finished (dec α=0.1, n=23)
[2025-04-28 15:51:02] pid936313 ➀  93/900 finished (dec α=0.1, n=24)
[2025-04-28 15:51:05] pid936313 ➀  94/900 finished (dec α=0.1, n=25)
[2025-04-28 15:51:09] pid936313 ➀  95/900 finished (dec α=0.1, n=26)
[2025-04-28 15:51:17] pid936313 ➀  96/900 finished (dec α=0.1, n=27)
[2025-04-28 15:51:19] pid936313 ➀  97/900 finished (dec α=0.01, n=70)
[2025-04-28 15:51:23] pid936313 ➀  98/900 finished (dec α=0.1, n=28)
