[2025-04-28 19:19:30] pid974627 Launching 420 tasks with 32 worker processes…
[2025-04-28 19:20:26] pid974627 ➀  74/420 finished (dec α=0.1, n=38)
[2025-04-28 19:20:30] pid974627 ➀  75/420 finished (dec α=0.5, n=36)
[2025-04-28 19:20:43] pid974627 ➀  76/420 finished (dec α=0.5, n=37)
[2025-04-28 19:20:46] pid974627 ➀  77/420 finished (dec α=0.1, n=40)
[2025-04-28 19:21:01] pid974627 ➀  78/420 finished (dec α=0.1, n=42)
[2025-04-28 19:21:09] pid974627 ➀  79/420 finished (dec α=0.5, n=39)
[2025-04-28 19:21:12] pid974627 ➀  80/420 finished (dec α=0.1, n=41)
[2025-04-28 19:21:20] pid974627 ➀  81/420 finished (dec α=0.5, n=38)
[2025-04-28 19:21:38] pid974627 ➀  82/420 finished (dec α=0.5, n=40)
[2025-04-28 19:21:48] pid974627 ➀  83/420 finished (dec α=0.1, n=44)
[2025-04-28 19:22:02] pid974627 ➀  84/420 finished (dec α=0.1, n=43)
[2025-04-28 19:22:03] pid974627 ➀  85/420 finished (dec α=0.5, n=41)
[2025-04-28 19:22:34] pid974627 ➀  86/420 finished (dec α=0.1, n=46)
[2025-04-28 19:22:34] pid974627 ➀  87/420 finished (dec α=0.1, n=45)
[2025-04-28 19:22:38] pid974627 ➀  88/420 finished (dec α=0.5, n=43)
[2025-04-28 19:23:09] pid974627 ➀  89/420 finished (dec α=0.5, n=44)
[2025-04-28 19:23:09] pid974627 ➀  90/420 finished (dec α=1.0, n=1)
[2025-04-28 19:23:09] pid974627 ➀  91/420 finished (dec α=1.0, n=2)
[2025-04-28 19:23:09] pid974627 ➀  92/420 finished (dec α=1.0, n=3)
[2025-04-28 19:23:09] pid974627 ➀  93/420 finished (dec α=1.0, n=4)
[2025-04-28 19:23:09] pid974627 ➀  94/420 finished (dec α=1.0, n=5)
[2025-04-28 19:23:09] pid974627 ➀  95/420 finished (dec α=1.0, n=6)
[2025-04-28 19:23:09] pid974627 ➀  96/420 finished (dec α=1.0, n=7)
[2025-04-28 19:23:09] pid974627 ➀  97/420 finished (dec α=1.0, n=8)
[2025-04-28 19:23:10] pid974627 ➀  98/420 finished (dec α=1.0, n=9)
[2025-04-28 19:23:10] pid974627 ➀  99/420 finished (dec α=1.0, n=10)
[2025-04-28 19:23:10] pid974627 ➀ 100/420 finished (dec α=1.0, n=11)
[2025-04-28 19:23:11] pid974627 ➀ 101/420 finished (dec α=0.1, n=48)
[2025-04-28 19:23:11] pid974627 ➀ 102/420 finished (dec α=1.0, n=12)
[2025-04-28 19:23:12] pid974627 ➀ 103/420 finished (dec α=1.0, n=14)
[2025-04-28 19:23:12] pid974627 ➀ 104/420 finished (dec α=1.0, n=13)
[2025-04-28 19:23:12] pid974627 ➀ 105/420 finished (dec α=1.0, n=15)
[2025-04-28 19:23:13] pid974627 ➀ 106/420 finished (dec α=1.0, n=16)
